Tweet	Class
میں نے ایٹم بم بنایا ھے ۔۔۔۔او بھائی ایٹم بمب کوٹ لکھپت والی اتفاق فیکٹری میں نہیں بنتا۔ایٹم بم کہوٹہ کی ایٹمی۔۔۔ 	P
چندے سے انقلاب اور عمران خان وزیر اعظم نہیں بن سکتے 	N
 ٹویٹر کا خیال کیسے آیا ؟	O
سرچ انجن گوگل کے نائب صدر نے فضا میں ، 130,000 فٹ کی بلندی پر چھلانگ لگا کر عالمی ریکارڈ قائم کرلیا۔ چھلانگ کی۔۔۔ 	P
 ابھی تک اسکی لہریں کبھی کبھی آ جاتی ہیں یار :أْ	P
 گندی زبان اور گٹر جیسے دماغ والے جاهل جیالے هو تم۔ جیالا هو اور جاهل نه هو یه ممکن نهیں ۔	N
قاتل بھی تم مقتول بھی تم,ظالم بھی ہم اور مظلوم بھی تم؟ 	N
ﻧﻮﺭ ﺑﻐﺪﺍﺩ ﮐﯽ ﮔﻠﯿﻮﮞ ﮐﺎ ﮨﮯ ﮨﺮ ﺍﯾﮏ ﮐﺮﻥ ﺍﺱ ﮐﯽ ﻣﺪﯾﻨﮧ ﺳﮯ ﭼﻠﯽ ﮨﮯ	P
 یہ لفظوں كى شرارت ھے سنبهل کر کچھ بهى لِكهنا تم محبت لفظ ھے ليكن یہ اكثر هو بهى جاتى ھے ۔۔۔۔!!!	P
سمارٹ فون کے عادیوں کے لیے ڈجٹل ڈیٹاکس کیپ متعارف۔ 	P
وزیر اعظم کی زیر صدارت پارلیمانی رہنماؤں کا اجلاس 	P
سوچا تھا شہباز شریف وہاں سے کام آگے لے کر جائیں گے جہاں ہم نے چھوڑا چودھری پرویز الہٰی چودھری نے پنجاب تباہ کیا شہباز نے ترقیاتی کام کیے پنجاب کو سنوار دیا	P
تیز بارش ہو ، گھنا پیڑ ہو ، اِک لڑکی ہوایسے منظر کبھی شہروں میں تو پائے نہ گئے 	P
لاہور: دھرنوں کے باعث سیاسی عدم استحکام تھا۔ اب معاملہ سنبھل گیا ہے ۔ میاں مجتبی 	P
مؤرخ لکھے گاکہ مملکتِ خداد پر ایسا کڑا وقت بھی آیا کہ ایک ڈی جے کو پالنے کیلیے کسی لیڈر کو چندہ مانگناپڑ گیا۔چندے سے انقلاب	N
 "مر گئے مردود نہ ڈیزل نا امرود"نه سرمه سندور" N
